"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"11","SSTV","SSTV UHF|SSTV ISS","433.40000|145.80000","433.00000|145.80000","SSTV ISS","145.80000","145.80000","SSTV UHF","433.40000","433.00000","0"
"12","ISS","ISS VHF|ISS UHF","145.80000|437.55000","145.20000|437.55000","ISS VHF","145.80000","145.20000","ISS UHF","437.55000","437.55000","0"
"13","DMR RP Athina","SW1F-202|SW1F-9|SV1N-202|SV1N-9|SV1N-2021|SW1N 202|SW1N 2021","438.81250|438.81250|439.35000|439.35000|439.35000|439.30000|439.30000","431.21250|431.21250|431.75000|431.75000|431.75000|431.70000|431.70000","SW1F-202","438.81250","431.21250","SW1F-9","438.81250","431.21250","0"
"14","DMR RP Ster.Ell.","SW1J-202|SW1J-9|SW8T-202|SW8T-9","438.63750|438.63750|438.76250|438.76250","431.03750|431.03750|431.16250|431.16250","SW1J-202","438.63750","431.03750","SW1J-9","438.63750","431.03750","0"
"15","DMR RP Pelopon","SV3U-202|SV3U-9|SV3P-202|SV3P-9","438.71250|438.71250|438.83750|438.83750","431.11250|431.11250|431.23750|431.23750","SV3U-202","438.71250","431.11250","SV3U-9","438.71250","431.11250","0"
"16","DMR RP Thesalia","SV4P-202|SV4P-9|SV4R-202|SV4R-9|SV4Q 202|SV4Q 2024","438.66250|438.66250|439.28750|439.28750|438.97500|438.97500","431.06250|431.06250|431.68750|431.68750|431.37500|431.37500","SV4P-202","438.66250","431.06250","SV4P-9","438.66250","431.06250","0"
"17","DMR RP Ipiros","SV6N-202|SV6N-9|SV6G 202|SV6G 2026|SV6J 202|SV6J 2026","438.96250|438.96250|438.75000|438.75000|438.70000|438.70000","431.36250|431.36250|431.15000|431.15000|431.10000|431.10000","SV6N-202","438.96250","431.36250","SV6N-9","438.96250","431.36250","0"
"18","DMR RP Mak.Kentr","SW2G-202|SW2G-9|SV2K-202|SV2K-9|SW2J-202|SW2J-9|SW2D 202|SW2D 2022","438.93750|438.93750|438.83750|438.83750|439.30000|439.30000|439.05000|439.05000","431.33750|431.33750|431.23750|431.23750|431.70000|431.70000|431.45000|431.45000","SW2G-202","438.93750","431.33750","SW2G-9","438.93750","431.33750","0"
"19","DMR RP Mak.Dit.","SW2A-202|SW2A-9|SV2U-202|SV2U-8|SW2L-202|SW2L-9","438.63750|438.63750|438.83750|438.83750|438.98750|438.98750","431.03750|431.03750|431.23750|431.23750|431.38750|431.38750","SW2A-202","438.63750","431.03750","SW2A-9","438.63750","431.03750","0"
"20","DMR RP Mak.Anat","SV7O-202|SV7O-9","438.15000|438.15000","430.55000|430.55000","SV7O-202","438.15000","430.55000","SV7O-9","438.15000","430.55000","0"
"21","DMR RP Ionio","SW8S-202|SW8S-9|SW8V 202|SW8V 20281|SW8R 202|SW8R 2028","438.76250|438.76250|439.42500|439.42500|438.67500|438.67500","431.16250|431.16250|431.82500|431.82500|431.07500|431.07500","SW8S-202","438.76250","431.16250","SW8S-9","438.76250","431.16250","0"
"22","DMR RP Aig. Not","SV5F-202|SV5F-9|SV5H-202|SV5H-9|SW8N-202|SW8N-9|SW8X-202|SW8X-9","438.86250|438.86250|438.76250|438.76250|439.25000|439.25000|438.96250|438.96250","431.26250|431.26250|431.16250|431.16250|431.65000|431.65000|431.36250|431.36250","SV5F-202","438.86250","431.26250","SV5F-9","438.86250","431.26250","0"
"23","DMR RP Aig. Bor","SW8P-202|SW8P-9|SW8W-202|SW8W-9","438.93750|438.93750|438.91250|438.91250","431.33750|431.33750|431.31250|431.31250","SW8P-202","438.93750","431.33750","SW8P-9","438.93750","431.33750","0"
"24","DMR RP Kriti","SV9J-202|SV9J-9|SV9K 202|SV9K 2029|SV9N 202|SV9N 2029","438.68750|438.68750|438.83750|438.83750|438.67500|438.67500","431.08750|431.08750|431.23750|431.23750|431.07500|431.07500","SV9J-202","438.68750","431.08750","SV9J-9","438.68750","431.08750","0"
