"3804","MARINE 17","156.85000","156.85000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3805","MARINE 18","161.50000","156.90000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3806","MARINE 19","161.55000","156.95000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3807","MARINE 20","161.60000","157.00000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3808","MARINE 21","161.65000","157.05000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3809","MARINE 22","161.70000","157.10000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3810","MARINE 23","161.75000","157.15000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3811","MARINE 24","161.80000","157.20000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3812","MARINE 25","161.85000","157.25000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3813","MARINE 26","161.90000","157.30000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
